statistic,policy,value,method,T,K,noise_func,noise_scale,floor_start,floor_decay,initial,dgp
mse,0,3.5867550945429583e-06,sample_mean_naive,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,0,0.003714273905557992,sample_mean_naive,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
bias,1,-0.015257439767100589,sample_mean_naive,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
90% coverage of t-stat,1,0.0,sample_mean_naive,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
mse,1,0.00023278946824670246,sample_mean_naive,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,1,0.013379520149603683,sample_mean_naive,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
bias,2,-0.0005035929074002077,sample_mean_naive,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
90% coverage of t-stat,2,1.0,sample_mean_naive,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
mse,2,2.5360581638379414e-07,sample_mean_naive,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,2,0.0055230143446977345,sample_mean_naive,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
bias,0,-0.0035350540322710566,W-decorrelation_15,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
90% coverage of t-stat,0,1.0,W-decorrelation_15,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
mse,0,1.2496607011075856e-05,W-decorrelation_15,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,0,0.02260168774930224,W-decorrelation_15,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
bias,1,-0.0015525846897276319,W-decorrelation_15,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
90% coverage of t-stat,1,1.0,W-decorrelation_15,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
mse,1,2.4105192187766467e-06,W-decorrelation_15,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,1,0.024586997776375755,W-decorrelation_15,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
bias,2,0.016011908205968872,W-decorrelation_15,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
90% coverage of t-stat,2,1.0,W-decorrelation_15,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
mse,2,0.00025638120439637333,W-decorrelation_15,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,2,0.023323175150698063,W-decorrelation_15,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
